x	y	z
14.37244898	0.037037037	315.7483195
14.46428571	0.037037037	315.6311442
14.55612245	0.037037037	315.5158509
14.64795918	0.037037037	315.4024415
14.73979592	0.037037037	315.2909158
14.83163265	0.037037037	315.1814583
14.92346939	0.037037037	315.0742805
15.01530612	0.037037037	314.9691513
15.10714286	0.037037037	314.8665917
15.19897959	0.037037037	314.7666016
15.29081633	0.037037037	314.6691812
15.38265306	0.037037037	314.5743303
15.4744898	0.037037037	314.4820491
15.56632653	0.037037037	314.3923374
15.65816327	0.037037037	314.3051953
15.75	0.037037037	314.2206228
15.84183673	0.037037037	314.1389044
15.93367347	0.037037037	314.0599392
16.0255102	0.037037037	313.9839261
16.11734694	0.037037037	313.9108144
16.20918367	0.037037037	313.8406124
16.30102041	0.037037037	313.773772
