% surf1x	surf1y	T (K)
8.354591837	-4.791666667	300.0901948
8.431122449	-4.791666667	300.0848387
8.507653061	-4.791666667	300.0808644
8.584183673	-4.791666667	300.0776851
8.660714286	-4.791666667	300.0742604
8.737244898	-4.791666667	300.0712504
8.81377551	-4.791666667	300.0683874
8.890306122	-4.791666667	300.0656714
8.966836735	-4.791666667	300.0631024
9.043367347	-4.791666667	300.0606804
9.119897959	-4.791666667	300.0584054
9.196428571	-4.791666667	300.0562774
9.272959184	-4.791666667	300.0542964
9.349489796	-4.791666667	300.0524624
9.426020408	-4.791666667	300.0507753
9.50255102	-4.791666667	300.0492353
9.579081633	-4.791666667	300.0478423
9.655612245	-4.791666667	300.0465963
9.732142857	-4.791666667	300.0454972
9.808673469	-4.791666667	300.0448272
9.885204082	-4.791666667	300.0448681
9.961734694	-4.791666667	300.0452809
-4.961734694	-4.652777778	300.0055464
-4.885204082	-4.652777778	300.0054999
-4.808673469	-4.652777778	300.0055194
-4.732142857	-4.652777778	300.0056048
-4.655612245	-4.652777778	300.0057742
-4.579081633	-4.652777778	300.0059844
-4.50255102	-4.652777778	300.0062314
-4.426020408	-4.652777778	300.006515
-4.349489796	-4.652777778	300.0068354
-4.272959184	-4.652777778	300.0071925
-4.196428571	-4.652777778	300.0075864
-4.119897959	-4.652777778	300.008017
-4.043367347	-4.652777778	300.0084843
-3.966836735	-4.652777778	300.0089884
-3.890306122	-4.652777778	300.0095292
-3.81377551	-4.652777778	300.0101067
-3.737244898	-4.652777778	300.0107209
-3.660714286	-4.652777778	300.0114054
-3.584183673	-4.652777778	300.0116856
-3.507653061	-4.652777778	300.0118406
-3.431122449	-4.652777778	300.0122576
-3.354591837	-4.652777778	300.0129365
-3.278061224	-4.652777778	300.0138435
-3.201530612	-4.652777778	300.014831
-3.125	-4.652777778	300.015893
-3.048469388	-4.652777778	300.0170294
-2.971938776	-4.652777778	300.0182402
-2.895408163	-4.652777778	300.0195254
-2.818877551	-4.652777778	300.0208851
-2.742346939	-4.652777778	300.0223193
-2.665816327	-4.652777778	300.0238278
-2.589285714	-4.652777778	300.0254108
-2.512755102	-4.652777778	300.0270683
-2.43622449	-4.652777778	300.0288001
-2.359693878	-4.652777778	300.0306064
-2.283163265	-4.652777778	300.0324871
-2.206632653	-4.652777778	300.0344423
-2.130102041	-4.652777778	300.0371467
-2.053571429	-4.652777778	300.0385373
-1.977040816	-4.652777778	300.0401361
-1.900510204	-4.652777778	300.041943
-1.823979592	-4.652777778	300.0439581
-1.74744898	-4.652777778	300.0461235
-1.670918367	-4.652777778	300.0480303
-1.594387755	-4.652777778	300.0498808
-1.517857143	-4.652777778	300.0516749
-1.441326531	-4.652777778	300.0534128
-1.364795918	-4.652777778	300.0550942
-1.288265306	-4.652777778	300.0567194
-1.211734694	-4.652777778	300.0582882
-1.135204082	-4.652777778	300.0598007
-1.058673469	-4.652777778	300.0612569
-0.982142857	-4.652777778	300.0626567
-0.905612245	-4.652777778	300.0640003
-0.829081633	-4.652777778	300.0652874
-0.75255102	-4.652777778	300.0665183
-0.676020408	-4.652777778	300.0676928
-0.599489796	-4.652777778	300.0700243
-0.522959184	-4.652777778	300.0733559
-0.446428571	-4.652777778	300.0758681
-0.369897959	-4.652777778	300.0775611
-0.293367347	-4.652777778	300.0784347
-0.216836735	-4.652777778	300.0794093
-0.140306122	-4.652777778	300.0802203
-0.06377551	-4.652777778	300.0808349
0.012755102	-4.652777778	300.081253
0.089285714	-4.652777778	300.0814747
0.165816327	-4.652777778	300.0814998
0.242346939	-4.652777778	300.0813285
0.318877551	-4.652777778	300.0809607
0.395408163	-4.652777778	300.0803965
0.471938776	-4.652777778	300.0796358
0.548469388	-4.652777778	300.0786786
0.625	-4.652777778	300.0775249
0.701530612	-4.652777778	300.0761748
0.778061224	-4.652777778	300.0746281
0.854591837	-4.652777778	300.0730017
0.931122449	-4.652777778	300.0717566
1.007653061	-4.652777778	300.0709196
1.084183673	-4.652777778	300.0704906
1.160714286	-4.652777778	300.0704696
1.237244898	-4.652777778	300.0690379
1.31377551	-4.652777778	300.0678189
1.390306122	-4.652777778	300.0667437
1.466836735	-4.652777778	300.0658122
1.543367347	-4.652777778	300.0650244
1.619897959	-4.652777778	300.0643804
1.696428571	-4.652777778	300.0638801
1.772959184	-4.652777778	300.0635236
1.849489796	-4.652777778	300.0633108
1.926020408	-4.652777778	300.0632418
2.00255102	-4.652777778	300.0633165
2.079081633	-4.652777778	300.0635349
2.155612245	-4.652777778	300.0638971
2.232142857	-4.652777778	300.064403
2.308673469	-4.652777778	300.0645338
2.385204082	-4.652777778	300.0643035
2.461734694	-4.652777778	300.0647247
2.538265306	-4.652777778	300.0657972
2.614795918	-4.652777778	300.0675212
2.691326531	-4.652777778	300.0698966
2.767857143	-4.652777778	300.0725545
2.844387755	-4.652777778	300.0753465
2.920918367	-4.652777778	300.0783046
2.99744898	-4.652777778	300.0814288
3.073979592	-4.652777778	300.0847189
3.150510204	-4.652777778	300.0881751
3.227040816	-4.652777778	300.0917974
3.303571429	-4.652777778	300.0955857
3.380102041	-4.652777778	300.0995401
3.456632653	-4.652777778	300.1036605
3.533163265	-4.652777778	300.1079469
3.609693878	-4.652777778	300.1123994
3.68622449	-4.652777778	300.117018
3.762755102	-4.652777778	300.1218078
3.839285714	-4.652777778	300.1282885
3.915816327	-4.652777778	300.131718
3.992346939	-4.652777778	300.1357884
4.068877551	-4.652777778	300.1404996
4.145408163	-4.652777778	300.1458515
4.221938776	-4.652777778	300.1509166
4.298469388	-4.652777778	300.157277
4.375	-4.652777778	300.1639985
4.451530612	-4.652777778	300.1706739
4.528061224	-4.652777778	300.1773033
4.604591837	-4.652777778	300.1838868
4.681122449	-4.652777778	300.1904242
4.757653061	-4.652777778	300.1969155
4.834183673	-4.652777778	300.2033609
4.910714286	-4.652777778	300.2097603
4.987244898	-4.652777778	300.2161137
5.06377551	-4.652777778	300.222421
5.140306122	-4.652777778	300.2286824
5.216836735	-4.652777778	300.2348977
5.293367347	-4.652777778	300.241067
5.369897959	-4.652777778	300.2494189
5.446428571	-4.652777778	300.2557
5.522959184	-4.652777778	300.2589448
5.599489796	-4.652777778	300.2591533
5.676020408	-4.652777778	300.2563254
5.75255102	-4.652777778	300.2531958
5.829081633	-4.652777778	300.2526106
5.905612245	-4.652777778	300.2517442
5.982142857	-4.652777778	300.2505965
6.058673469	-4.652777778	300.2491676
6.135204082	-4.652777778	300.2474574
6.211734694	-4.652777778	300.2454659
6.288265306	-4.652777778	300.2431932
6.364795918	-4.652777778	300.2406393
6.441326531	-4.652777778	300.2378041
6.517857143	-4.652777778	300.2346876
6.594387755	-4.652777778	300.2312899
6.670918367	-4.652777778	300.2276109
6.74744898	-4.652777778	300.2236507
6.823979592	-4.652777778	300.2187137
6.900510204	-4.652777778	300.215478
6.977040816	-4.652777778	300.211741
7.053571429	-4.652777778	300.2073452
7.130102041	-4.652777778	300.2022906
7.206632653	-4.652777778	300.1965771
7.283163265	-4.652777778	300.1907175
7.359693878	-4.652777778	300.185009
7.43622449	-4.652777778	300.1792047
7.512755102	-4.652777778	300.1733044
7.589285714	-4.652777778	300.1673083
7.665816327	-4.652777778	300.1612163
7.742346939	-4.652777778	300.1550283
7.818877551	-4.652777778	300.1487445
7.895408163	-4.652777778	300.1423647
7.971938776	-4.652777778	300.1358891
8.048469388	-4.652777778	300.1293176
8.125	-4.652777778	300.1226501
8.201530612	-4.652777778	300.1158868
8.278061224	-4.652777778	300.1090276
8.354591837	-4.652777778	300.1016714
8.431122449	-4.652777778	300.0952288
8.507653061	-4.652777778	300.0895813
8.584183673	-4.652777778	300.0847288
8.660714286	-4.652777778	300.0805506
8.737244898	-4.652777778	300.0770854
8.81377551	-4.652777778	300.0739512
8.890306122	-4.652777778	300.0709641
8.966836735	-4.652777778	300.0681239
9.043367347	-4.652777778	300.0654307
9.119897959	-4.652777778	300.0628845
9.196428571	-4.652777778	300.0604854
9.272959184	-4.652777778	300.0582332
9.349489796	-4.652777778	300.056128
9.426020408	-4.652777778	300.0541698
9.50255102	-4.652777778	300.0523586
9.579081633	-4.652777778	300.0506944
9.655612245	-4.652777778	300.0492832
9.732142857	-4.652777778	300.0483673
9.808673469	-4.652777778	300.0478232
9.885204082	-4.652777778	300.0476509
9.961734694	-4.652777778	300.0478506
-4.961734694	-4.513888889	300.0059077
-4.885204082	-4.513888889	300.0059022
-4.808673469	-4.513888889	300.0059628
-4.732142857	-4.513888889	300.0060892
-4.655612245	-4.513888889	300.0062817
-4.579081633	-4.513888889	300.0065337
-4.50255102	-4.513888889	300.0068046
-4.426020408	-4.513888889	300.0071122
-4.349489796	-4.513888889	300.0074566
-4.272959184	-4.513888889	300.0078377
-4.196428571	-4.513888889	300.0082556
-4.119897959	-4.513888889	300.0087101
-4.043367347	-4.513888889	300.0092015
-3.966836735	-4.513888889	300.0097295
-3.890306122	-4.513888889	300.0102943
-3.81377551	-4.513888889	300.0108958
-3.737244898	-4.513888889	300.011534
-3.660714286	-4.513888889	300.0120827
-3.584183673	-4.513888889	300.0123557
-3.507653061	-4.513888889	300.0128908
-3.431122449	-4.513888889	300.0136878
-3.354591837	-4.513888889	300.0147467
-3.278061224	-4.513888889	300.0160676
-3.201530612	-4.513888889	300.0174204
-3.125	-4.513888889	300.0185736
-3.048469388	-4.513888889	300.0198013
-2.971938776	-4.513888889	300.0211034
-2.895408163	-4.513888889	300.0224799
-2.818877551	-4.513888889	300.0239309
-2.742346939	-4.513888889	300.0254563
-2.665816327	-4.513888889	300.0270561
-2.589285714	-4.513888889	300.0287304
-2.512755102	-4.513888889	300.0304791
-2.43622449	-4.513888889	300.0323022
-2.359693878	-4.513888889	300.0341998
-2.283163265	-4.513888889	300.0361718
-2.206632653	-4.513888889	300.0382182
-2.130102041	-4.513888889	300.0412053
-2.053571429	-4.513888889	300.0434748
-1.977040816	-4.513888889	300.0459526
-1.900510204	-4.513888889	300.0486384
-1.823979592	-4.513888889	300.0515325
-1.74744898	-4.513888889	300.0546347
-1.670918367	-4.513888889	300.057945
-1.594387755	-4.513888889	300.0600641
-1.517857143	-4.513888889	300.0619738
-1.441326531	-4.513888889	300.0638273
-1.364795918	-4.513888889	300.0656244
-1.288265306	-4.513888889	300.0673652
-1.211734694	-4.513888889	300.0690496
-1.135204082	-4.513888889	300.0706777
-1.058673469	-4.513888889	300.0722495
-0.982142857	-4.513888889	300.073765
-0.905612245	-4.513888889	300.0752241
-0.829081633	-4.513888889	300.0766269
-0.75255102	-4.513888889	300.0779733
-0.676020408	-4.513888889	300.0796688
-0.599489796	-4.513888889	300.0842489
-0.522959184	-4.513888889	300.088019
-0.446428571	-4.513888889	300.0909699
-0.369897959	-4.513888889	300.0931014
-0.293367347	-4.513888889	300.0944136
-0.216836735	-4.513888889	300.0949066
-0.140306122	-4.513888889	300.0954539
-0.06377551	-4.513888889	300.0959123
0.012755102	-4.513888889	300.0961743
0.089285714	-4.513888889	300.0962398
0.165816327	-4.513888889	300.0961088
0.242346939	-4.513888889	300.0957813
0.318877551	-4.513888889	300.0952574
